観測所番号,都道府県,地点,国際地点番号,特定期間の始まり（年）,特定期間の始まり（月）,特定期間の始まり（日）,特定期間の終わり（年）,特定期間の終わり（月）,特定期間の終わり（日）,現在時刻（時）,現在時刻（分）,期間最大値（mm）,期間最大値の品質情報,期間最大値の起時（まで）（年）,期間最大値の起時（まで）（月）,期間最大値の起時（まで）（日）,期間最大値の起時（まで）（時）,期間最大値の起時（まで）（分）,期間最大値の起時（まで）の品質情報,極値更新,10年未満での極値更新,極値比較対象月,これまでの観測史上1位の値（mm）,これまでの観測史上1位の値の品質情報,これまでの観測史上1位の値の年,これまでの観測史上1位の値の月,これまでの観測史上1位の値の日,これまでの月の1位の値（mm）,これまでの月の1位の値の品質情報,これまでの月の1位の値の年,これまでの月の1位の値の月,これまでの月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2018,06,28,2018,07,06,,,31.0,8,2018,06,30,07,30,8,,,7,160.5,8,2016,09,07,121.0,8,2015,07,15,1978
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2018,06,28,2018,07,06,,,45.5,8,2018,07,05,04,20,8,,,7,223.5,8,2016,09,07,105.0,8,2015,07,15,1976
11046,北海道 宗谷地方,礼文（レブン）,,2018,06,28,2018,07,06,,,61.0,8,2018,07,05,01,00,8,,,7,207.5,8,2014,08,24,105.5,8,2015,07,14,2003
11061,北海道 宗谷地方,声問（コエトイ）,,2018,06,28,2018,07,06,,,40.5,8,2018,06,30,22,30,8,,,7,193.0,8,2016,09,07,104.5,8,2015,07,15,2003
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2018,06,28,2018,07,06,,,40.0,8,2018,07,05,05,20,8,,,7,163.0,8,1990,08,24,145.0,8,2015,07,15,1978
11091,北海道 宗谷地方,本泊（モトドマリ）,,2018,06,28,2018,07,06,,,45.5,8,2018,07,05,01,20,8,,,7,228.0,8,2016,09,07,139.0,8,2012,07,13,2003
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2018,06,28,2018,07,06,,,74.5,8,2018,07,05,02,30,8,,,7,142.5,8,2014,08,24,98.5,8,2015,07,15,1977
11151,北海道 宗谷地方,沓形（クツガタ）,,2018,06,28,2018,07,06,,,59.5,8,2018,07,05,01,00,8,,,7,224.0,8,2016,09,07,109.0,8,2015,07,15,1976
11176,北海道 宗谷地方,豊富（トヨトミ）,,2018,06,28,2018,07,06,,,46.0,8,2018,07,05,01,40,8,,,7,156.0,8,2014,08,25,133.0,8,1999,07,31,1976
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2018,06,28,2018,07,06,,,44.0,8,2018,07,05,05,30,8,,,7,150.0,8,1997,08,05,117.0,8,1999,07,30,1976
