観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの4月の1位の値(mm),昨日までの4月の1位の値の品質情報,昨日までの4月の1位の値の年,昨日までの4月の1位の値の月,昨日までの4月の1位の値の日,統計開始年
11001,北海道 宗谷地方,宗谷岬,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,45,8,1996,08,18,5.5,8,2009,04,08,1978
11016,北海道 宗谷地方,稚内,47401,2017,04,11,15,00,0.0,8,0.0,4,,,,,,64.0,8,1938,09,01,7.6,8,1938,04,23,1938
11046,北海道 宗谷地方,礼文,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,41.0,8,2014,08,24,10,8,2006,04,21,2003
11061,北海道 宗谷地方,声問,,2017,04,11,15,00,,1,,1,,,,,,46.0,8,2010,09,20,3,8,2003,04,30,2003
11076,北海道 宗谷地方,浜鬼志別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,50.0,8,2013,08,24,8,8,2006,04,21,1978
11091,北海道 宗谷地方,本泊,,2017,04,11,15,00,,1,,1,,,,,,49.5,8,2014,08,11,,,,,,2003
11121,北海道 宗谷地方,沼川,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,38.0,8,2012,07,31,10,8,2006,04,21,1977
11151,北海道 宗谷地方,沓形,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,44,8,2006,10,19,8.0,8,2016,04,14,1976
11176,北海道 宗谷地方,豊富,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,46.5,8,2010,09,20,7.0,8,2010,04,11,1976
11206,北海道 宗谷地方,浜頓別,,2017,04,11,15,00,0.0,8,0.0,4,,,,,,44,8,1999,08,22,13,8,1989,04,17,1976
