観測所番号,都道府県,地点,国際地点番号,特定期間の始まり（年）,特定期間の始まり（月）,特定期間の始まり（日）,特定期間の終わり（年）,特定期間の終わり（月）,特定期間の終わり（日）,現在時刻（時）,現在時刻（分）,期間合計値（mm）,期間合計値の品質情報
11001,北海道 宗谷地方,宗谷岬（ソウヤミサキ）,,2018,06,28,2018,07,08,,,51.0,8
11016,北海道 宗谷地方,稚内（ワッカナイ）,47401,2018,06,28,2018,07,08,,,68.5,8
11046,北海道 宗谷地方,礼文（レブン）,,2018,06,28,2018,07,08,,,96.5,8
11061,北海道 宗谷地方,声問（コエトイ）,,2018,06,28,2018,07,08,,,69.5,8
11076,北海道 宗谷地方,浜鬼志別（ハマオニシベツ）,,2018,06,28,2018,07,08,,,56.5,8
11091,北海道 宗谷地方,本泊（モトドマリ）,,2018,06,28,2018,07,08,,,59.5,8
11121,北海道 宗谷地方,沼川（ヌマカワ）,,2018,06,28,2018,07,08,,,95.5,8
11151,北海道 宗谷地方,沓形（クツガタ）,,2018,06,28,2018,07,08,,,82.0,8
11176,北海道 宗谷地方,豊富（トヨトミ）,,2018,06,28,2018,07,08,,,59.5,8
11206,北海道 宗谷地方,浜頓別（ハマトンベツ）,,2018,06,28,2018,07,08,,,67.0,8
11276,北海道 宗谷地方,中頓別（ナカトンベツ）,,2018,06,28,2018,07,08,,,105.5,8
11291,北海道 宗谷地方,北見枝幸（キタミエサシ）,47402,2018,06,28,2018,07,08,,,139.0,8
11316,北海道 宗谷地方,歌登（ウタノボリ）,,2018,06,28,2018,07,08,,,147.0,8
13011,北海道 宗谷地方,幌延（ホロノベ）,,2018,06,28,2018,07,08,,,65.5,8
12011,北海道 上川地方,中川（ナカガワ）,,2018,06,28,2018,07,08,,,112.5,8
12041,北海道 上川地方,音威子府（オトイネップ）,,2018,06,28,2018,07,08,,,120.5,8
12066,北海道 上川地方,小車（オグルマ）,,2018,06,28,2018,07,08,,,91.0,8
12141,北海道 上川地方,美深（ビフカ）,,2018,06,28,2018,07,08,,,143.0,8
12181,北海道 上川地方,名寄（ナヨロ）,,2018,06,28,2018,07,08,,,144.5,8
12217,北海道 上川地方,西風連（ニシフウレン）,,2018,06,28,2018,07,08,,,123.5,8
12231,北海道 上川地方,下川（シモカワ）,,2018,06,28,2018,07,08,,,116.5,8
12256,北海道 上川地方,剣淵（ケンブチ）,,2018,06,28,2018,07,08,,,125.5,8
12261,北海道 上川地方,士別（シベツ）,,2018,06,28,2018,07,08,,,117.5,8
12266,北海道 上川地方,朝日（アサヒ）,,2018,06,28,2018,07,08,,,146.5,8
12301,北海道 上川地方,和寒（ワッサム）,,2018,06,28,2018,07,08,,,169.5,8
12386,北海道 上川地方,江丹別（エタンベツ）,,2018,06,28,2018,07,08,,,199.5,8
12396,北海道 上川地方,比布（ピップ）,,2018,06,28,2018,07,08,,,161.5,8
12411,北海道 上川地方,上川（カミカワ）,,2018,06,28,2018,07,08,,,170.5,8
12442,北海道 上川地方,旭川（アサヒカワ）,47407,2018,06,28,2018,07,08,,,206.5,8
12451,北海道 上川地方,東川（ヒガシカワ）,,2018,06,28,2018,07,08,,,223.5,8
12457,北海道 上川地方,瑞穂（ミズホ）,,2018,06,28,2018,07,08,,,252.5,8
12471,北海道 上川地方,層雲峡（ソウウンキョウ）,,2018,06,28,2018,07,08,,,213.5,8
12501,北海道 上川地方,東神楽（ヒガシカグラ）,,2018,06,28,2018,07,08,,,209.0,8
12512,北海道 上川地方,志比内（シビナイ）,,2018,06,28,2018,07,08,,,233.5,8
12551,北海道 上川地方,美瑛（ビエイ）,,2018,06,28,2018,07,08,,,210.5,8
12596,北海道 上川地方,上富良野（カミフラノ）,,2018,06,28,2018,07,08,,,181.0,8
12607,北海道 上川地方,白金（シロガネ）,,2018,06,28,2018,07,08,,,249.5,8
12626,北海道 上川地方,富良野（フラノ）,,2018,06,28,2018,07,08,,,154.5,8
12632,北海道 上川地方,麓郷（ロクゴウ）,,2018,06,28,2018,07,08,,,152.0,8
12686,北海道 上川地方,金山（カナヤマ）,,2018,06,28,2018,07,08,,,163.5,8
12691,北海道 上川地方,幾寅（イクトラ）,,2018,06,28,2018,07,08,,,171.0,8
12746,北海道 上川地方,占冠（シムカップ）,,2018,06,28,2018,07,08,,,111.0,8
15041,北海道 上川地方,朱鞠内（シュマリナイ）,,2018,06,28,2018,07,08,,,152.0,8
